Genre,Count,Track,Mapping
aussietronica,28,On Fire (feat. Maribelle),edm
rap,31,Too Many Nights (feat. Don Toliver & with Future),rap
no genre,169,Twerking,no genre
dominican pop,3,Déjame el Viernes,spanish
drill espanol,1,Cómo Están?,spanish
afrofuturismo brasileiro,1,Ponta de Lança (Verso Livre),brazilian
antilliaanse rap,3,Midi Mi Forsa,misc
basshall,1,Tropical,spanish
cali rap,88,Therapy Sessions,rap
memphis hip hop,10,Alone (feat. Lil Durk),rap
chicago drill,14,Home Body (feat. Gunna & TK Kravitz),rap
jackin' house,1,Relight My Fire (Romy Black Remix),edm
boom bap brasileiro,1,País de Fome,brazilian
puerto rican pop,4,FCK U X2,spanish
dancehall,25,"Bad Gyal (feat. Skillibeng, Jucee Froot & Tommy Lee) [Divas]",jamaican
bass house,74,Pirate Station (feat. JME & Lauren Murray) - Mikey B & Motion Remix,edm
gangster rap,47,Run A Bag Up,rap
atl hip hop,237,Banking On Me,rap
funk rj,1,Elas Passou Olhou - Remix,brazilian
hip hop,162,Twist Made Me,rap
trap latino,2,MODELITO,rap
canadian hip hop,87,Jumbotron Shit Poppin,rap
chillwave,5,Wide Awake (feat. Charlie Houston),edm
dance pop,356,Heaven Sent (feat. Wiz Khalifa),pop
pop,13,Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix],pop
melodic drill,3,Mrs,rap
detroit hip hop,30,Robbery Part 5,rap
house,12,Can’t Let Go - Obskür Remix,edm
edm,144,Lose Our Minds,edm
deep groove house,113,Sunshine,edm
boogaloo,1,Ya No Te Puedo Amar,spanish
latin pop,3,Aguanile,latin
uk hip hop,4,Run These Streets,rap
lovers rock,1,No Money,rap
funk carioca,1,Cara Bacana,brazilian
atl trap,5,My Hood,rap
uk tech house,2,Fudge - Low Steppa Remix - Edit,edm
alabama rap,5,Life Worth Living,rap
chill drill,2,Neverland,rap
dutch edm,12,Libre,edm
reggaeton,38,PA' ROMPERLA,latin
deep house,42,House Dimension - Brokenears Remix,edm
bachata,2,Odio (feat. Drake),spanish
electro house,10,Presos,edm
canadian electronic,19,I'm in Love with You,edm
east coast hip hop,22,X Gon' Give It To Ya,rap
uk pop,4,Heavy - Icarus Remix,edm
afropop,3,Mona Ki Ngi Xica - Pablo Fierro Remix,jamaican
float house,3,Sun My Sweet Sun - Konstantin Sibold Afro Tech Mix,edm
deep tech house,3,Dance with My Ghost (feat. Elderbrook),edm
gambian hip hop,1,"TO THE MOON (feat. Fivio Foreign, Russ Millions & Sam Tompkins) - Drill Remix",rap
dancefloor dnb,6,By Your Side,edm
irish neo-traditional,4,Pilsner Polkas,irish
german alternative rap,1,Pushe Packs,edm
organic house,3,Light in the Dark - Extended Mix,edm
alternative dance,33,Where You Belong,edm
abstract beats,2,Especial,edm
alternative r&b,20,Funky Thang,rap
afro dancehall,8,Angele Ni Fie,jamaican
indie r&b,3,Uno Dos,misc
barbadian pop,6,Loveeeeeee Song,latin
ambient house,2,Glue,edm
modern reggae,2,5Gs (feat. Royal Blu & Munga Honorable),jamaican
scottish folk,1,The Duchess,irish
australian electropop,20,Next to Me,edm
russian hip hop,1,Не жалея,rap
italian tech house,1,Ritmo,edm
classic venezuelan pop,1,Por Las Buenas,spanish
disco house,19,Every Day,edm
deep disco house,18,Feelike,edm
disco,4,My Forbidden Lover - Dimitri from Paris Remix,edm
urbano chileno,1,Mi Gata,spanish
german dance,1,Love Sensation - Radio Mix,edm
desi pop,2,Born to Shine,rap
belgian edm,11,Hippies (feat. Two Another),edm
jamaican dancehall,1,Brace It - feat. Konshens,jamaican
baton rouge rap,13,Don’t Rate Me (feat. Quavo),rap
conscious hip hop,46,Father Time (feat. Sampha),rap
garage house,2,Do You Feel Me - City Soul Project Remix,edm
uk house,6,Told You Once (feat. Mila Falls),edm
dmv rap,6,Super,rap
brazilian edm,6,Can't Get Over You,edm
australian dance,18,OneFourThree,edm
escape room,7,Go DJ,rap
tropical house,11,Marching Band,edm
latin hip hop,16,Chambean,spanish
groove room,1,Islands in the Sky - Costa Mee Remix,edm
houston rap,2,Soldier,rap
deep underground hip hop,5,First Class,rap
art pop,5,I Follow Rivers - The Magician Remix,misc
bass trap,30,Floreana,rap
uk alternative hip hop,1,Nairobi,rap
asakaa,1,Holy F4k,rap
ann arbor indie,2,Dean Town,edm
popwave,1,Limelight,edm
brooklyn drill,35,Money Man (feat. Killa),rap
florida drill,8,Bad News,rap
a cappella,1,Sea Shanty Medley,irish
crunk,3,Backseat,rap
melodic rap,39,Sanguine Paradise,rap
florida rap,6,By Your Side,rap
classic house,6,Come Into My Room (feat. LT Brown) - Take It Back Mix,edm
electronica,10,Some Kind of Game,edm
nz electronic,2,Muruba,edm
