,Track,Genre,Category
0,On Fire (feat. Maribelle),aussietronica,edm
1,Too Many Nights (feat. Don Toliver & with Future),rap,rap
2,Twerking,no genre,no genre
3,Déjame el Viernes,dominican pop,spanish
4,Cómo Están?,drill espanol,spanish
5,Ponta de Lança (Verso Livre),afrofuturismo brasileiro,brazilian
6,Midi Mi Forsa,antilliaanse rap,misc
7,Hode Nan,antilliaanse rap,misc
8,Tropical,basshall,spanish
9,Pordonami,antilliaanse rap,misc
10,Therapy Sessions,cali rap,rap
11,Alone (feat. Lil Durk),memphis hip hop,rap
12,Home Body (feat. Gunna & TK Kravitz),chicago drill,rap
13,Serotonin Moonbeams,no genre,no genre
14,Relight My Fire (Romy Black Remix),jackin' house,edm
15,What Happened To Virgil (feat. Gunna),chicago drill,rap
16,País de Fome,boom bap brasileiro,brazilian
17,FCK U X2,puerto rican pop,spanish
18,"Bad Gyal (feat. Skillibeng, Jucee Froot & Tommy Lee) [Divas]",dancehall,jamaican
19,Pirate Station (feat. JME & Lauren Murray) - Mikey B & Motion Remix,bass house,edm
20,Run A Bag Up,no genre,no genre
21,MINE'S IS OURS,no genre,no genre
22,Banking On Me,atl hip hop,rap
23,Put Me Together,no genre,no genre
24,Elas Passou Olhou - Remix,funk rj,brazilian
25,Twist Made Me,hip hop,rap
26,Up the River,atl hip hop,rap
27,Perkys Calling,atl hip hop,rap
28,MODELITO,trap latino,rap
29,Jumbotron Shit Poppin,canadian hip hop,rap
30,I Guess It’s Fuck Me,canadian hip hop,rap
31,3AM on Glenwood,atl hip hop,rap
32,Wide Awake (feat. Charlie Houston),chillwave,edm
33,Pussy & Millions (feat. Travis Scott),canadian hip hop,rap
34,Hours In Silence,canadian hip hop,rap
35,Heaven Sent (feat. Wiz Khalifa),no genre,no genre
36,Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix],pop,pop
37,Mrs,melodic drill,rap
38,Robbery Part 5,detroit hip hop,rap
39,Risk Takers,atl hip hop,rap
40,Can’t Let Go - Obskür Remix,house,edm
41,Lose Our Minds,edm,edm
42,Sunshine,deep groove house,edm
43,California,dance pop,pop
44,Ya No Te Puedo Amar,boogaloo,spanish
45,Supply The Love,no genre,no genre
46,Quicksand,no genre,no genre
47,Sway,no genre,no genre
48,Just The Same,edm,edm
49,Aguanile,latin pop,latin
50,Need a Change,dancehall,jamaican
51,Run These Streets,uk hip hop,rap
52,No Money,lovers rock,rap
53,Cara Bacana,funk carioca,brazilian
54,My Hood,atl trap,rap
55,Fudge - Low Steppa Remix - Edit,uk tech house,edm
56,We Are,no genre,no genre
57,Life Worth Living,alabama rap,rap
58,Light Money (feat. Money Man),cali rap,rap
59,Neverland,chill drill,rap
60,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",hip hop,rap
61,Libre,dutch edm,edm
62,Rocky Road (with Kodak Black),hip hop,rap
63,PA' ROMPERLA,reggaeton,latin
64,House Dimension - Brokenears Remix,deep house,edm
65,Odio (feat. Drake),bachata,spanish
66,Volví,bachata,spanish
67,All I Need (Is Believe) - Glen Horsborough Remix,deep house,edm
68,Presos,electro house,edm
69,I'm in Love with You,canadian electronic,edm
70,Love Sex Magic,no genre,no genre
71,Vete,reggaeton,latin
